제목,저자,게시 날짜,출처,권,호,페이지,게시자,설명,전체 인용횟수,학술 문서,컨퍼런스,저널,도서,발명자,특허청,특허 번호,출원번호,기관
Learning to construct knowledge bases from the World Wide Web,"Mark Craven, Dan DiPasquo, Dayne Freitag, Andrew McCallum, Tom Mitchell, Kamal Nigam, Seán Slattery",2000/4/1,,118,1-2,69-113,Elsevier,"The World Wide Web is a vast source of information accessible to computers, but understandable only to humans. The goal of the research described here is to automatically create a computer understandable knowledge base whose content mirrors that of the World Wide Web. Such a knowledge base would enable much more effective retrieval of Web information, and promote new uses of the Web to support knowledge-based inference and problem solving. Our approach is to develop a trainable information extraction system that takes two inputs. The first is an ontology that defines the classes (e.g., company, person, employee, product) and relations (e.g., employed_by, produced_by) of interest when creating the knowledge base. The second is a set of training data consisting of labeled regions of hypertext that represent instances of these classes and relations. Given these inputs, the system learns to extract …",646회,"Learning to construct knowledge bases from the World Wide Web
M Craven, D DiPasquo, D Freitag, A McCallum… - Artificial intelligence, 2000
646회 인용 관련 학술자료 전체 30개의 버전",,Artificial intelligence,,,,,,
The discipline of machine learning,Tom Michael Mitchell,2006/7,,9,,,"Carnegie Mellon University, School of Computer Science, Machine Learning Department","Over the past 50 years the study of Machine Learning has grown from the efforts of a handful of computer engineers exploring whether computers could learn to play games, and a field of Statistics that largely ignored computational considerations, to a broad discipline that has produced fundamental statistical-computational theories of learning processes, has designed learning algorithms that are routinely used in commercial systems for speech recognition, computer vision, and a variety of other tasks, and has spun off an industry in data mining to discover hidden regularities in the growing volumes of online data. This document provides a brief and personal view of the discipline that has emerged as Machine Learning, the fundamental questions it addresses, its relationship to other sciences and society, and where it might be headed.",631회,"The discipline of machine learning
TM Mitchell - 2006
631회 인용 관련 학술자료 전체 28개의 버전",,,,,,,,
The monk's problems a performance comparison of different learning algorithms,"Sebastian B Thrun, Jerzy Bala, Eric Bloedorn, Ivan Bratko, Bojan Cestnik, John Cheng, Kenneth De Jong, Saso Dzeroski, Scott E Fahlman, D Fisher, Rainer Hamann, Kenneth Kaufman, Stefan Keller, Igor Kononenko, Juergen Kreuziger, Ryszard S Michalski, Tom Mitchell, Peter Pachowicz, Yoram Reich, Haleh Vafaie, Walter Van de Welde, Walter Wenzel, Janusz Wnek, Jianping Zhang",1991,,,,,,"This report summarizes a comparison of different learning techniques which was performed at the 2nd European Summer School on Machine Learning, held in Belgium during summer 1991. A variety of symbolic and non-symbolic learning techniques--namely AQ17-DCI, AQ17-HCI, AQ17FCLS, AQ14-NT, AQ15-GA, Assistant Professional, mFOIL, ID5R, IDL, ID5R-hat, TDIDT, ID3, AQR, CN2, CLASS WEB, ECOBWEB, PRISM, Backpropagation, and Cascade Correlation--are compared on three classification problems, the MONK's problems. The MONK's problems are derived from a domain in which each training example is represented by six discrete-valued attributes. Each problem involves learning a binary function defined over this domain, from a sample of training examples of this function. Experiments were performed with and without noise in the training examples. One significant characteristic of this comparison is that it was performed by a collection of researchers, each of whom was an advocate of the technique they t...",624회,"The monk's problems a performance comparison of different learning algorithms
SB Thrun, J Bala, E Bloedorn, I Bratko, B Cestnik… - 1991
624회 인용 관련 학술자료 전체 7개의 버전",,,,,,,,
Experience with a learning personal assistant,"Tom M Mitchell, Rich Caruana, Dayne Freitag, John McDermott, David Zabowski",1994/7/7,,37,7,80-91,,"Personal software assistants that help users with tasks like finding information, scheduling calendars, or managing work-flow will require significant customization to each individual user. For example, an assistant that helps schedule a particular user’s calendar will have to know that user’s scheduling preferences. This paper explores the potential of machine learning methods to automatically create and maintain such customized knowledge for personal software assistants. We describe the design of one particular learning assistant: a calendar manager, called CAP (Calendar APprentice), that learns user scheduling preferences from experience. Results are summarized from approximately five user-years of experience, during which CAP has learned an evolving set of several thousand rules that characterize the scheduling preferences of its users. Based on this experience, we suggest that machine learning methods may play an important role in future personal software assistants.",622회,"Experience with a learning personal assistant
TM Mitchell, R Caruana, D Freitag, J McDermott… - Communications of the ACM, 1994
622회 인용 관련 학술자료 전체 27개의 버전",,Communications of the ACM,,,,,,
Constructing an expert system,Bruce G Buchanan,1983,,,,127-167,Addison-Wesley,課題対話型目標分析法による認知的な教育目標の抽出: 中学校数学科の文字式の論証課題に対する適用の試み,614회,"Constructing an expert system
BG Buchanan - Building expert systems, 1983
614회 인용 관련 학술자료",,Building expert systems,,,,,,
An overview of machine learning,"Jaime G Carbonell, Ryszard S Michalski, Tom M Mitchell",1983/1/1,Machine learning,,,3-23,Morgan Kaufmann,"Publisher Summary
This chapter discusses the objective and concept of machine learning. The study and computer modeling of learning processes in their multiple manifestations constitutes the subject matter of machine learning. At present, the field of machine learning is organized around three primary research foci: (1) task-oriented studies—the development and analysis of learning systems to improve performance in a predetermined set of tasks also known as the engineering approach. (2) Cognitive simulation—the investigation and computer simulation of human learning processes. (3) Theoretical analysis—the theoretical exploration of the space of possible learning methods and algorithms independent of application domain. An equally basic scientific objective of machine learning is the exploration of alternative learning mechanisms, including the discovery of different induction algorithms, the scope and …",573회,"An overview of machine learning
JG Carbonell, RS Michalski, TM Mitchell - Machine learning, 1983
573회 인용 관련 학술자료 전체 8개의 버전",,,,,,,,
Random walk inference and learning in a large scale knowledge base,"Ni Lao, Tom Mitchell, William Cohen",2011/7,,,,529-539,,"We consider the problem of performing learning and inference in a large scale knowledge base containing imperfect knowledge with incomplete coverage. We show that a soft inference procedure based on a combination of constrained, weighted, random walks through the knowledge base graph can be used to reliably infer new beliefs for the knowledge base. More specifically, we show that the system can learn to infer different target relations by tuning the weights associated with random walks that follow different paths through the graph, using a version of the Path Ranking Algorithm (Lao and Cohen, 2010b). We apply this approach to a knowledge base of approximately 500,000 beliefs extracted imperfectly from the web by NELL, a never-ending language learner (Carlson et al., 2010). This new system improves significantly over NELL’s earlier Horn-clause learning and inference method: it obtains nearly double the precision at rank 100, and the new learning method is also applicable to many more inference tasks.",552회,"Random walk inference and learning in a large scale knowledge base
N Lao, T Mitchell, W Cohen - Proceedings of the 2011 conference on empirical …, 2011
552회 인용 관련 학술자료 전체 22개의 버전",Proceedings of the 2011 conference on empirical methods in natural language processing,,,,,,,
Using EM to classify text from labeled and unlabeled documents,"Kamal Nigam, Andrew McCallum, Sebastian Thrun, Tom Mitchell",1998/5/11,,,,,CARNEGIE-MELLON UNIV PITTSBURGH PA SCHOOL OF COMPUTER SCIENCE,"This paper shows that the accuracy of learned text classifiers can be improved by augmenting a small number of labeled training documents with a large pool of unlabeled documents. This is significant because in many important text classification problems obtaining classification labels is expensive, while large quantities of unlabeled documents are readily available. We present a theoretical argument showing that, under common assumptions, unlabeled data contain information about the target function. We then introduce an algorithm for learning from labeled and unlabeled text, based on the combination of Expectation-Maximization with a naive Bayes classifier. The algorithm first trains a classifier using the available labeled documents, and probabilistically labels the unlabeled documents. It then trains a new classifier using the labels for all the documents, and iterates. Experimental results, obtained using text from three different real-world tasks, show that the use of unlabeled data reduces classification error by up to 30.
Descriptors:",537회,"Using EM to classify text from labeled and unlabeled documents
K Nigam, A McCallum, S Thrun, T Mitchell - 1998
537회 인용 관련 학술자료 전체 29개의 버전",,,,,,,,
Coupled semi-supervised learning for information extraction,"Andrew Carlson, Justin Betteridge, Richard C Wang, Estevam R Hruschka Jr, Tom M Mitchell",2010/2/4,,,,101-110,,"We consider the problem of semi-supervised learning to extract categories (eg, academic fields, athletes) and relations (eg, PlaysSport (athlete, sport)) from web pages, starting with a handful of labeled training examples of each category or relation, plus hundreds of millions of unlabeled web documents. Semi-supervised training using only a few labeled examples is typically unreliable because the learning task is underconstrained. This paper pursues the thesis that much greater accuracy can be achieved by further constraining the learning task, by coupling the semi-supervised training of many extractors for different categories and relations. We characterize several ways in which the training of category and relation extractors can be coupled, and present experimental results demonstrating significantly improved accuracy as a result.",524회,"Coupled semi-supervised learning for information extraction
A Carlson, J Betteridge, RC Wang, ER Hruschka Jr… - Proceedings of the third ACM international conference …, 2010
524회 인용 관련 학술자료 전체 20개의 버전",,,Proceedings of the third ACM international conference on Web search and data mining,,,,,
Version spaces: an approach to concept learning.,Tom Michael Mitchell,1978/12/1,,,,,STANFORD UNIV CALIF DEPT OF COMPUTER SCIENCE,"A method is presented for learning general descriptions of concepts from a sequence of positive and negative training instances. This method involves examining a predetermined space or language of possible concept descriptions, finding those which are consistent with the observed training instances. Rather than use heuristic search techniques to examine this concept description space, the subspace version space of all plausible concept descriptions is represented and updated with each training instance. This version space approach determines all concept descriptions consistent with the training instances, without backtracking to reexamine past training instances or previously rejected concept descriptions. Proofs are given for the correctness of the method for representing version spaces, and of the associated concept learning algorithm, for any countably infinite concept description language. Empirical results obtained from computer implementations in two domains are presented. The version space approach has been implemented as one component of the Meta-DENDRAL program for learning production rules in the domain of chemical spectroscopy. Its implementation in this program is described in detail.
Descriptors:",515회,"Version spaces: an approach to concept learning.
TM Mitchell - 1978
515회 인용 관련 학술자료 전체 9개의 버전",,,,,,,,
Introduction to artificial intelligence and expert systems,Dan W Patterson,1990,,,,,Prentice-hall of India,"This text provides comprehensive treatment of all important topics in artificial intelligence and expert systems - presented from a knowledge based systems approach. The text covers the knowledge and knowledge representation methods in both breadth and detail, with many examples, covers the latest results in all key areas of AI, including knowledge representation, pattern matching, natural language processing, computer vision, memory organization, pattern recognition, expert systems, neural networks, AI tools and machine learning. throughout. The book provides chapter introductions and chapter summaries.",487회,"Introduction to artificial intelligence and expert systems
DW Patterson - 1990
487회 인용 관련 학술자료 전체 5개의 버전",,,,,,,,
Learning by experimentation: Acquiring and refining problem-solving heuristics,"Tom M Mitchell, Paul E Utgoff, Ranan Banerji",1983,Machine learning,,,163-190,"Springer, Berlin, Heidelberg","This chapter concerns learning heuristic problem-solving strategies through experience. In particular, we focus on the issue of learning heuristics to guide a forward-search problem solver, and describe a computer program called lex, which acquires problem-solving heuristics in the domain of symbolic integration. lex acquires and modifies heuristics by iteratively applying the following process: (i) generate a practice problem; (ii) use available heuristics to solve this problem; (iii) analyze the search steps performed in obtaining the solution; and (iv) propose and refine new domain-specific heuristics to improve performance on subsequent problems. We describe the methods currently used by lex, analyze strengths and weaknesses of these methods, and discuss our current research toward more powerful approaches to learning heuristics.",471회,"Learning by experimentation: Acquiring and refining problem-solving heuristics
TM Mitchell, PE Utgoff, R Banerji - Machine learning, 1983
471회 인용 관련 학술자료 전체 6개의 버전",,,,,,,,
Learning a predictable and generative vector representation for objects,"Rohit Girdhar, David F Fouhey, Mikel Rodriguez, Abhinav Gupta",2016/10/8,,,,484-499,"Springer, Cham","What is a good vector representation of an object? We believe that it should be generative in 3D, in the sense that it can produce new 3D objects; as well as be predictable from 2D, in the sense that it can be perceived from 2D images. We propose a novel architecture, called the TL-embedding network, to learn an embedding space with these properties. The network consists of two components: (a) an autoencoder that ensures the representation is generative; and (b) a convolutional network that ensures the representation is predictable. This enables tackling a number of tasks including voxel prediction from 2D images and 3D model retrieval. Extensive experimental analysis demonstrates the usefulness and versatility of this embedding.",469회,"Learning a predictable and generative vector representation for objects
R Girdhar, DF Fouhey, M Rodriguez, A Gupta - European Conference on Computer Vision, 2016
469회 인용 관련 학술자료 전체 5개의 버전",European Conference on Computer Vision,,,,,,,
Lifelong robot learning,"Sebastian Thrun, Tom M Mitchell",1995/7/1,,15,1-2,25-46,North-Holland,"Learning provides a useful tool for the automatic design of autonomous robots. Recent research on learning robot control has predominantly focused on learning single tasks that were studied in isolation. If robots encounter a multitude of control learning tasks over their entire lifetime there is an opportunity to transfer knowledge between them. In order to do so, robots may learn the invariants and the regularities of the individual tasks and environments. This task-independent knowledge can be employed to bias generalization when learning control, which reduces the need for real-world experimentation. We argue that knowledge transfer is essential if robots are to learn control with moderate learning times in complex scenarios. Two approaches to lifelong robot learning which both capture invariant knowledge about the robot and its environments are presented. Both approaches have been evaluated using a …",469회,"Lifelong robot learning
S Thrun, TM Mitchell - Robotics and autonomous systems, 1995
469회 인용 관련 학술자료 전체 28개의 버전",,Robotics and autonomous systems,,,,,,
Version spaces: A candidate elimination approach to rule learning,Tom M Mitchell,1977/8/22,,,,305-310,,"An important research problem in artificial intelligence is the study of methods for learning general concepts or rules from a set of training instances. An approach to this problem is presented which is guaranteed to find, without backtracing, all rule versions consistent with a set of positive and negative training instances. The algorithm put forth uses a representation of the space of those rules consistent with the observed training data. This"" rule version space"" is modified in response to new training instances by eliminating candidate rule versions found to conflict with each new instance. The use of version spaces is discussed in the context of Meta-DENDRAL, a program which learns rules in the domain of chemical spectroscopy.",435회,"Version spaces: A candidate elimination approach to rule learning
TM Mitchell - Proceedings of the 5th international joint conference on …, 1977
435회 인용 관련 학술자료 전체 4개의 버전",,,Proceedings of the 5th international joint conference on Artificial intelligence-Volume 1,,,,,
LEAP: A learning apprentice for VLSI design,"Tom M Mitchell, Sridbar Mabadevan, Louis I Steinberg",1990/1/1,,,,271-289,Morgan Kaufmann,"It is by now well recognized that a major impediment to developing knowledge-based systems is the knowledge-acquisition bottleneck: The task of building up a complete enough and correct enough knowledge base to provide high-level performance. This chapter proposes a new class of knowledge-based systems designed to address this knowledge-acquisition bottleneck by incorporating a learning component to acquire new knowledge through experience. In particular, we define learning apprentice systems as the class of interactive, knowledge-based consultants that directly assimilate new knowledge by observing and analyzing the problem-solving steps contributed by their users through their normal use of the system. This chapter describes a specific learning apprentice system, called LEAP, which is currently being developed in the domain of VLSI design. We also discuss design issues for learning …",393회,"LEAP: A learning apprentice for VLSI design
TM Mitchell, S Mabadevan, LI Steinberg - Machine learning, 1990
389회 인용 관련 학술자료 전체 12개의 버전
A learning apprentice system for VLSI design*
T Mitchell, S Mahadevan, L Steinberg - Proceedings of the 1985 International Machine …, 1985
6회 인용 관련 학술자료",,,Machine learning,,,,,
What can machine learning do? Workforce implications,"Erik Brynjolfsson, Tom Mitchell",2017/12/22,,358,6370,1530-1534,American Association for the Advancement of Science,"Profound change is coming, but roles for humans remain",380회,"What can machine learning do? Workforce implications
E Brynjolfsson, T Mitchell - Science, 2017
380회 인용 관련 학술자료 전체 5개의 버전",,Science,,,,,,
Model-directed learning of production rules,"Bruce G Buchanan, Tom M Mitchell",1978/1/1,,,,297-312,Academic Press,The Meta-DENDRAL program is described in general terms that are intended to clarify the similarities and differences to other learning programs. Its approach of model-directed heuristic search through a complex space of possible rules appears well suited to many induction tasks. The use of a strong model of the domain to direct the rule search has been demonstrated for rule formation in two areas of chemistry. The high performance of programs that use the generated rules attests to the success of this learning strategy.,301회,"Model-directed learning of production rules
BG Buchanan, TM Mitchell - Pattern-directed inference systems, 1978
301회 인용 관련 학술자료 전체 8개의 버전",,,Pattern-directed inference systems,,,,,
Learning to classify email into “speech acts”,"William Cohen, Vitor Carvalho, Tom Mitchell",2004/7,,,,309-316,,"It is often useful to classify email according to the intent of the sender (eg,"" propose a meeting"","" deliver information""). We present experimental results in learning to classify email in this fashion, where each class corresponds to a verbnoun pair taken from a predefined ontology describing typical “email speech acts”. We demonstrate that, although this categorization problem is quite different from “topical” text classification, certain categories of messages can nonetheless be detected with high precision (above 80%) and reasonable recall (above 50%) using existing text-classification learning methods. This result suggests that useful task-tracking tools could be constructed based on automatic classification into this taxonomy.",295회,"Learning to classify email into “speech acts”
W Cohen, V Carvalho, T Mitchell - Proceedings of the 2004 Conference on Empirical …, 2004
295회 인용 관련 학술자료 전체 19개의 버전",Proceedings of the 2004 Conference on Empirical Methods in Natural Language Processing,,,,,,,
Decision tree learning,Tom Mitchell,1997,,414,,52-78,"The McGraw-Hill Companies, Inc",,273회,"Decision tree learning
T Mitchell - Machine learning, 1997
273회 인용 관련 학술자료",,Machine learning,,,,,,
Ambler: An autonomous rover for planetary exploration,"John Bares, Martial Hebert, Takeo Kanade, Eric Krotkov, Tom Mitchell, Reid Simmons, William Whittaker",1989/6,,22,6,18-26,IEEE,"The authors are building a prototype legged rover, called the Ambler (loosely an acronym for autonomous mobile exploration robot) and testing it on full-scale, rugged terrain of the sort that might be encountered on the Martian surface. They present an overview of their research program, focusing on locomotion, perception, planning, and control. They summarize some of the most important goals and requirements of a rover design and describe how locomotion, perception, and planning systems can satisfy these requirements. Since the program is relatively young (one year old at the time of writing) they identify issues and approaches and describe work in progress rather than report results. It is expected that many of the technologies developed will be applicable to other planetary bodies and to terrestrial concerns such as hazardous waste assessment and remediation, ocean floor exploration, and mining.< >",271회,"Ambler: An autonomous rover for planetary exploration
J Bares, M Hebert, T Kanade, E Krotkov, T Mitchell… - Computer, 1989
271회 인용 관련 학술자료 전체 9개의 버전",,Computer,,,,,,
The role of unlabeled data in supervised learning,Tom M Mitchell,2004,,,,103-111,"Springer, Dordrecht","Most computational models of supervised learning rely only on labeled training examples, and ignore the possible role of unlabeled data. This is true both for cognitive science models of learning such as SOAR [Newell 1990] and ACT–R [Anderson, et al. 1995], and for machine learning and data mining algorithms such as decision tree learning and inductive logic programming (see, e.g., [Mitchell 1997]). In this paper we consider the potential role of unlabeled data in supervised learning. We present an algorithm and experimental results demonstrating that unlabeled data can significantly improve learning accuracy in certain practical problems. We then identify the abstract problem structure that enables the algorithm to successfully utilize this unlabeled data, and prove that unlabeled data will boost learning accuracy for problems in this class. The problem class we identify includes problems where the …",269회,"The role of unlabeled data in supervised learning
TM Mitchell - Language, Knowledge, and Representation, 2004
269회 인용 관련 학술자료 전체 15개의 버전",,,"Language, Knowledge, and Representation",,,,,
Redefining designing: From form to experience,C Thomas Mitchell,1993,,,,,Van Nostrand Reinhold Company,"Redefining Designing From Form to Experience C. Thomas Mitchell Redefining Designing: From Form to Experience offers a comprehensive new theory of design in which user needs and wishes are central. This landmark work focuses on design in terms of human experience rather than physical form. The book offers a highly critical study of design philosophies that have emerged since industrialization: modernism, late modernism, postmodernism, and deconstruction. C. Thomas Mitchell points out how many designs, particularly in architecture, fail to suit their intended purpose not because of their style but because of the design process itself. Mitchell then reviews user-responsive design methods, which he calls"" design turned inside-out."" He explores collaborative, contextual, and intangible design, and cites examples of each. International case studies illustrate up-to-the-minute topics such as"" humanware,"" softecnica, the pattern language, and soft design. Also featured is an interview with Brian Eno and graphic work by artists Christo and Robert Wilson. Many never-before published illustrations enhance the book throughout. A broad synthesis of new thinking on design, Redefining Designing: From Form to Experience will be of great interest to a wide range of professionals, including architects, planners, and landscape architects, as well as product, interior, and industrial designers.",253회,"Redefining designing: From form to experience
CT Mitchell - 1993
253회 인용 관련 학술자료",,,,,,,,
Using fMRI brain activation to identify cognitive states associated with perception of tools and dwellings,"Svetlana V Shinkareva, Robert A Mason, Vicente L Malave, Wei Wang, Tom M Mitchell, Marcel Adam Just",2008/1/2,,3,1,e1394,Public Library of Science,"Previous studies have succeeded in identifying the cognitive state corresponding to the perception of a set of depicted categories, such as tools, by analyzing the accompanying pattern of brain activity, measured with fMRI. The current research focused on identifying the cognitive state associated with a 4s viewing of an individual line drawing (1 of 10 familiar objects, 5 tools and 5 dwellings, such as a hammer or a castle). Here we demonstrate the ability to reliably (1) identify which of the 10 drawings a participant was viewing, based on that participant's characteristic whole-brain neural activation patterns, excluding visual areas; (2) identify the category of the object with even higher accuracy, based on that participant's activation; and (3) identify, for the first time, both individual objects and the category of the object the participant was viewing, based only on other participants' activation patterns. The voxels important for category identification were located similarly across participants, and distributed throughout the cortex, focused in ventral temporal perceptual areas but also including more frontal association areas (and somewhat left-lateralized). These findings indicate the presence of stable, distributed, communal, and identifiable neural states corresponding to object concepts.",252회,"Using fMRI brain activation to identify cognitive states associated with perception of tools and dwellings
SV Shinkareva, RA Mason, VL Malave, W Wang… - PloS one, 2008
252회 인용 관련 학술자료 전체 23개의 버전",,PloS one,,,,,,
