제목,저자,게시 날짜,저널,권,호,페이지,게시자,설명,전체 인용횟수,학술 문서,컨퍼런스,도서,출처,기관
Principal manifolds and nonlinear dimensionality reduction via tangent space alignment,"Zhenyue Zhang, Hongyuan Zha",2004,SIAM journal on scientific computing,26,1,313-338,Society for Industrial and Applied Mathematics,"We present a new algorithm for manifold learning and nonlinear dimensionality reduction. Based on a set of unorganized data points sampled with noise from a parameterized manifold, the local geometry of the manifold is learned by constructing an approximation for the tangent space at each data point, and those tangent spaces are then aligned to give the global coordinates of the data points with respect to the underlying manifold. We also present an error analysis of our algorithm showing that reconstruction errors can be quite small in some cases. We illustrate our algorithm using curves and surfaces both in two-dimensional/three-dimensional (2D/3D) Euclidean spaces and in higher-dimensional Euclidean spaces. We also address several theoretical and algorithmic issues for further research and improvements.",2168회,"Principal manifolds and nonlinear dimensionality reduction via tangent space alignment
Z Zhang, H Zha - SIAM journal on scientific computing, 2004
2168회 인용 관련 학술자료 전체 23개의 버전",,,,
Siamese neural networks for one-shot image recognition,"Gregory Koch, Richard Zemel, Ruslan Salakhutdinov",2015/7/10,ICML deep learning workshop,2,,,,"The process of learning good features for machine learning applications can be very computationally expensive and may prove difficult in cases where little data is available. A prototypical example of this is the one-shot learning setting, in which we must correctly make predictions given only a single example of each new class.",2126회,"Siamese neural networks for one-shot image recognition
G Koch, R Zemel, R Salakhutdinov - ICML deep learning workshop, 2015
2126회 인용 관련 학술자료 전체 10개의 버전",,,,
Restricted Boltzmann machines for collaborative filtering,"Ruslan Salakhutdinov, Andriy Mnih, Geoffrey Hinton",2007/6/20,,,,791-798,,"Most of the existing approaches to collaborative filtering cannot handle very large data sets. In this paper we show how a class of two-layer undirected graphical models, called Restricted Boltzmann Machines (RBM's), can be used to model tabular data, such as user's ratings of movies. We present efficient learning and inference procedures for this class of models and demonstrate that RBM's can be successfully applied to the Netflix data set, containing over 100 million user/movie ratings. We also show that RBM's slightly outperform carefully-tuned SVD models. When the predictions of multiple RBM models and multiple SVD models are linearly combined, we achieve an error rate that is well over 6% better than the score of Netflix's own system.",2049회,"Restricted Boltzmann machines for collaborative filtering
R Salakhutdinov, A Mnih, G Hinton - Proceedings of the 24th international conference on …, 2007
2049회 인용 관련 학술자료 전체 32개의 버전",,Proceedings of the 24th international conference on Machine learning,,
Unsupervised learning of video representations using lstms,"Nitish Srivastava, Elman Mansimov, Ruslan Salakhutdinov",2015/2/16,,2,,,,"We use Long Short Term Memory (LSTM) networks to learn representations of video sequences. Our model uses an encoder LSTM to map an input sequence into a fixed length representation. This representation is decoded using single or multiple decoder LSTMs to perform different tasks, such as reconstructing the input sequence, or predicting the future sequence. We experiment with two kinds of input sequences–patches of image pixels and high-level representations (“percepts"") of video frames extracted using a pretrained convolutional net. We explore different design choices such as whether the decoder LSTMs should condition on the generated output. We analyze the outputs of the model qualitatively to see how well the model can extrapolate the learned video representation into the future and into the past. We further evaluate the representations by finetuning them for a supervised learning problem–human action recognition on the UCF-101 and HMDB-51 datasets. We show that the representations help improve classification accuracy, especially when there are only few training examples. Even models pretrained on unrelated datasets (300 hours of YouTube videos) can help action recognition performance.",1982회,"Unsupervised learning of video representations using lstms
N Srivastava, E Mansimov, R Salakhudinov - International conference on machine learning, 2015
1982회 인용 관련 학술자료 전체 19개의 버전",International Conference on Machine Learning (ICML),,,
Neighbourhood components analysis,"Jacob Goldberger, Geoffrey E Hinton, Sam Roweis, Russ R Salakhutdinov",2004,Advances in neural information processing systems,17,,513-520,,"In this paper we propose a novel method for learning a Mahalanobis distance measure to be used in the KNN classification algorithm. The algorithm directly maximizes a stochastic variant of the leave-one-out KNN score on the training set. It can also learn a low-dimensional linear embedding of labeled data that can be used for data visualization and fast classification. Unlike other methods, our classification model is non-parametric, making no assumptions about the shape of the class distributions or the boundaries between them. The performance of the method is demonstrated on several data sets, both for metric learning and linear dimensionality reduction.",1970회,"Neighbourhood components analysis
J Goldberger, GE Hinton, S Roweis, RR Salakhutdinov - Advances in neural information processing systems, 2004
1970회 인용 관련 학술자료 전체 20개의 버전",,,,
Human-level concept learning through probabilistic program induction,"Brenden M Lake, Ruslan Salakhutdinov, Joshua B Tenenbaum",2015/12/11,Science,350,6266,1332-1338,American Association for the Advancement of Science,"People learning new concepts can often generalize successfully from just a single example, yet machine learning algorithms typically require tens or hundreds of examples to perform with similar accuracy. People can also use learned concepts in richer ways than conventional algorithms—for action, imagination, and explanation. We present a computational model that captures these human learning abilities for a large class of simple visual concepts: handwritten characters from the world’s alphabets. The model represents concepts as simple programs that best explain observed examples under a Bayesian criterion. On a challenging one-shot classification task, the model achieves human-level performance while outperforming recent deep learning approaches. We also present several “visual Turing tests” probing the model’s creative generalization abilities, which in many cases are indistinguishable from human …",1902회,"Human-level concept learning through probabilistic program induction
BM Lake, R Salakhutdinov, JB Tenenbaum - Science, 2015
1902회 인용 관련 학술자료 전체 35개의 버전",,,,
Unifying visual-semantic embeddings with multimodal neural language models,"Ryan Kiros, Ruslan Salakhutdinov, Richard S Zemel",2014/11/10,Transactions of the Association for Computational Linguistics (TACL),,,,,"Inspired by recent advances in multimodal learning and machine translation, we introduce an encoder-decoder pipeline that learns (a): a multimodal joint embedding space with images and text and (b): a novel language model for decoding distributed representations from our space. Our pipeline effectively unifies joint image-text embedding models with multimodal neural language models. We introduce the structure-content neural language model that disentangles the structure of a sentence to its content, conditioned on representations produced by the encoder. The encoder allows one to rank images and sentences while the decoder can generate novel descriptions from scratch. Using LSTM to encode sentences, we match the state-of-the-art performance on Flickr8K and Flickr30K without using object detections. We also set new best results when using the 19-layer Oxford convolutional network. Furthermore we show that with linear encoders, the learned embedding space captures multimodal regularities in terms of vector space arithmetic eg* image of a blue car*-"" blue""+"" red"" is near images of red cars. Sample captions generated for 800 images are made available for comparison.",1522회,"Unifying visual-semantic embeddings with multimodal neural language models
R Kiros, R Salakhutdinov, RS Zemel - arXiv preprint arXiv:1411.2539, 2014
1055회 인용 관련 학술자료 전체 6개의 버전
Multimodal neural language models*
R Kiros, R Salakhutdinov, R Zemel - International conference on machine learning, 2014
640회 인용 관련 학술자료 전체 21개의 버전",,,,
Bayesian probabilistic matrix factorization using Markov chain Monte Carlo,"Ruslan Salakhutdinov, Andriy Mnih",2008/7/5,,,,880-887,ACM,"Low-rank matrix approximation methods provide one of the simplest and most effective approaches to collaborative filtering. Such models are usually fitted to data by finding a MAP estimate of the model parameters, a procedure that can be performed efficiently even on very large datasets. However, unless the regularization parameters are tuned carefully, this approach is prone to overfitting because it finds a single point estimate of the parameters. In this paper we present a fully Bayesian treatment of the Probabilistic Matrix Factorization (PMF) model in which model capacity is controlled automatically by integrating over all model parameters and hyperparameters. We show that Bayesian PMF models can be efficiently trained using Markov chain Monte Carlo methods by applying them to the Netflix dataset, which consists of over 100 million movie ratings. The resulting models achieve significantly higher prediction …",1513회,"Bayesian probabilistic matrix factorization using Markov chain Monte Carlo
R Salakhutdinov, A Mnih - Proceedings of the 25th international conference on …, 2008
1513회 인용 관련 학술자료 전체 27개의 버전",Proceedings of the 25th international conference on Machine learning,,,
Bayesian probabilistic matrix factorization using Markov chain Monte Carlo,"Ruslan Salakhutdinov, Andriy Mnih",2008/7/5,,,,880-887,ACM,"Low-rank matrix approximation methods provide one of the simplest and most effective approaches to collaborative filtering. Such models are usually fitted to data by finding a MAP estimate of the model parameters, a procedure that can be performed efficiently even on very large datasets. However, unless the regularization parameters are tuned carefully, this approach is prone to overfitting because it finds a single point estimate of the parameters. In this paper we present a fully Bayesian treatment of the Probabilistic Matrix Factorization (PMF) model in which model capacity is controlled automatically by integrating over all model parameters and hyperparameters. We show that Bayesian PMF models can be efficiently trained using Markov chain Monte Carlo methods by applying them to the Netflix dataset, which consists of over 100 million movie ratings. The resulting models achieve significantly higher prediction …",1513회,"Bayesian probabilistic matrix factorization using Markov chain Monte Carlo
R Salakhutdinov, A Mnih - Proceedings of the 25th international conference on …, 2008
1513회 인용 관련 학술자료 전체 27개의 버전",Proceedings of the 25th international conference on Machine learning,,,
Bayesian probabilistic matrix factorization using Markov chain Monte Carlo,"Ruslan Salakhutdinov, Andriy Mnih",2008/7/5,,,,880-887,ACM,"Low-rank matrix approximation methods provide one of the simplest and most effective approaches to collaborative filtering. Such models are usually fitted to data by finding a MAP estimate of the model parameters, a procedure that can be performed efficiently even on very large datasets. However, unless the regularization parameters are tuned carefully, this approach is prone to overfitting because it finds a single point estimate of the parameters. In this paper we present a fully Bayesian treatment of the Probabilistic Matrix Factorization (PMF) model in which model capacity is controlled automatically by integrating over all model parameters and hyperparameters. We show that Bayesian PMF models can be efficiently trained using Markov chain Monte Carlo methods by applying them to the Netflix dataset, which consists of over 100 million movie ratings. The resulting models achieve significantly higher prediction …",1513회,"Bayesian probabilistic matrix factorization using Markov chain Monte Carlo
R Salakhutdinov, A Mnih - Proceedings of the 25th international conference on …, 2008
1513회 인용 관련 학술자료 전체 27개의 버전",Proceedings of the 25th international conference on Machine learning,,,
Multimodal Learning with Deep Boltzmann Machines.,"Nitish Srivastava, Ruslan Salakhutdinov",2012/12/3,NIPS,1,,2,,"Data often consists of multiple diverse modalities. For example, images are tagged with textual information and videos are accompanied by audio. Each modality is characterized by having distinct statistical properties. We propose a Deep Boltzmann Machine for learning a generative model of such multimodal data. We show that the model can be used to create fused representations by combining features across modalities. These learned representations are useful for classification and information retrieval. By sampling from the conditional distributions over each data modality, it is possible to create these representations even when some data modalities are missing. We conduct experiments on bi-modal image-text and audio-video data. The fused representation achieves good classification results on the MIR-Flickr data set matching or outperforming other deep models as well as SVM based models that use Multiple Kernel Learning. We further demonstrate that this multimodal model helps classification and retrieval even when only unimodal data is available at test time.",1314회,"Multimodal Learning with Deep Boltzmann Machines.
N Srivastava, R Salakhutdinov - NIPS, 2012
1314회 인용 관련 학술자료 전체 25개의 버전",,,,
Semantic hashing,"Ruslan Salakhutdinov, Geoffrey Hinton",2009/7/1,International Journal of Approximate Reasoning,50,7,969-978,Elsevier,"We show how to learn a deep graphical model of the word-count vectors obtained from a large set of documents. The values of the latent variables in the deepest layer are easy to infer and give a much better representation of each document than Latent Semantic Analysis. When the deepest layer is forced to use a small number of binary variables (e.g. 32), the graphical model performs “semantic hashing”: Documents are mapped to memory addresses in such a way that semantically similar documents are located at nearby addresses. Documents similar to a query document can then be found by simply accessing all the addresses that differ by only a few bits from the address of the query document. This way of extending the efficiency of hash-coding to approximate matching is much faster than locality sensitive hashing, which is the fastest current method. By using semantic hashing to filter the documents given to …",1233회,"Semantic hashing
R Salakhutdinov, G Hinton - International Journal of Approximate Reasoning, 2009
1233회 인용 관련 학술자료 전체 16개의 버전",,,,
Transformer-xl: Attentive language models beyond a fixed-length context,"Zihang Dai, Zhilin Yang, Yiming Yang, Jaime Carbonell, Quoc V Le, Ruslan Salakhutdinov",2019/1/9,arXiv preprint arXiv:1901.02860,,,,,"Transformers have a potential of learning longer-term dependency, but are limited by a fixed-length context in the setting of language modeling. We propose a novel neural architecture Transformer-XL that enables learning dependency beyond a fixed length without disrupting temporal coherence. It consists of a segment-level recurrence mechanism and a novel positional encoding scheme. Our method not only enables capturing longer-term dependency, but also resolves the context fragmentation problem. As a result, Transformer-XL learns dependency that is 80% longer than RNNs and 450% longer than vanilla Transformers, achieves better performance on both short and long sequences, and is up to 1,800+ times faster than vanilla Transformers during evaluation. Notably, we improve the state-of-the-art results of bpc/perplexity to 0.99 on enwiki8, 1.08 on text8, 18.3 on WikiText-103, 21.8 on One Billion Word, and 54.5 on Penn Treebank (without finetuning). When trained only on WikiText-103, Transformer-XL manages to generate reasonably coherent, novel text articles with thousands of tokens. Our code, pretrained models, and hyperparameters are available in both Tensorflow and PyTorch.",1118회,"Transformer-xl: Attentive language models beyond a fixed-length context
Z Dai, Z Yang, Y Yang, J Carbonell, QV Le… - arXiv preprint arXiv:1901.02860, 2019
1118회 인용 관련 학술자료 전체 10개의 버전",,,,
Aligning books and movies: Towards story-like visual explanations by watching movies and reading books,"Yukun Zhu, Ryan Kiros, Rich Zemel, Ruslan Salakhutdinov, Raquel Urtasun, Antonio Torralba, Sanja Fidler",2015,,,,19-27,,"Books are a rich source of both fine-grained information, how a character, an object or a scene looks like, as well as high-level semantics, what someone is thinking, feeling and how these states evolve through a story. This paper aims to align books to their movie releases in order to provide rich descriptive explanations for visual content that go semantically far beyond the captions available in the current datasets. To align movies and books we propose a neural sentence embedding that is trained in an unsupervised way from a large corpus of books, as well as a video-text neural embedding for computing similarities between movie clips and sentences in the book. We propose a context-aware CNN to combine information from multiple sources. We demonstrate good quantitative performance for movie/book alignment and show several qualitative examples that showcase the diversity of tasks our model can be used for.",1070회,"Aligning books and movies: Towards story-like visual explanations by watching movies and reading books
Y Zhu, R Kiros, R Zemel, R Salakhutdinov, R Urtasun… - Proceedings of the IEEE international conference on …, 2015
1070회 인용 관련 학술자료 전체 16개의 버전",Proceedings of the IEEE international conference on computer vision,,,
Deep sets,"Manzil Zaheer, Satwik Kottur, Siamak Ravanbakhsh, Barnabas Poczos, Ruslan Salakhutdinov, Alexander Smola",2017/3/10,arXiv preprint arXiv:1703.06114,,,,,"We study the problem of designing models for machine learning tasks defined on\emph {sets}. In contrast to traditional approach of operating on fixed dimensional vectors, we consider objective functions defined on sets that are invariant to permutations. Such problems are widespread, ranging from estimation of population statistics\cite {poczos13aistats}, to anomaly detection in piezometer data of embankment dams\cite {Jung15Exploration}, to cosmology\cite {Ntampaka16Dynamical, Ravanbakhsh16ICML1}. Our main theorem characterizes the permutation invariant functions and provides a family of functions to which any permutation invariant objective function must belong. This family of functions has a special structure which enables us to design a deep network architecture that can operate on sets and which can be deployed on a variety of scenarios including both unsupervised and supervised learning tasks. We also derive the necessary and sufficient conditions for permutation equivariance in deep models. We demonstrate the applicability of our method on population statistic estimation, point cloud classification, set expansion, and outlier detection.",934회,"Deep sets
M Zaheer, S Kottur, S Ravanbakhsh, B Poczos… - arXiv preprint arXiv:1703.06114, 2017
934회 인용 관련 학술자료 전체 4개의 버전",,,,
Evaluation methods for topic models,"Hanna M Wallach, Iain Murray, Ruslan Salakhutdinov, David Mimno",2009/6/14,,,,1105-1112,,"A natural evaluation metric for statistical topic models is the probability of held-out documents given a trained model. While exact computation of this probability is intractable, several estimators for this probability have been used in the topic modeling literature, including the harmonic mean method and empirical likelihood method. In this paper, we demonstrate experimentally that commonly-used methods are unlikely to accurately estimate the probability of held-out documents, and propose two alternative methods that are both accurate and efficient.",904회,"Evaluation methods for topic models
HM Wallach, I Murray, R Salakhutdinov, D Mimno - Proceedings of the 26th annual international …, 2009
904회 인용 관련 학술자료 전체 26개의 버전",,Proceedings of the 26th annual international conference on machine learning,,
Revisiting Semi-Supervised Learning with Graph Embeddings,"Zhilin Yang, William Cohen, Ruslan Salakhutdinov",2016/3/29,,,,,,"We present a semi-supervised learning framework based on graph embeddings. Given a graph between instances, we train an embedding for each instance to jointly predict the class label and the neighborhood context in the graph. We develop both transductive and inductive variants of our method. In the transductive variant of our method, the class labels are determined by both the learned embeddings and input feature vectors, while in the inductive variant, the embeddings are defined as a parametric function of the feature vectors, so predictions can be made on instances not seen during training. On a large and diverse set of benchmark tasks, including text classification, distantly supervised entity extraction, and entity classification, we show improved performance over many of the existing models.",847회,"Revisiting semi-supervised learning with graph embeddings
Z Yang, W Cohen, R Salakhudinov - International conference on machine learning, 2016
847회 인용 관련 학술자료 전체 13개의 버전",International Conference on Machine Learning (ICML),,,
Importance weighted autoencoders,"Yuri Burda, Roger Grosse, Ruslan Salakhutdinov",2015/9/1,,,,,,"The variational autoencoder (VAE; Kingma, Welling (2014)) is a recently proposed generative model pairing a top-down generative network with a bottom-up recognition network which approximates posterior inference. It typically makes strong assumptions about posterior inference, for instance that the posterior distribution is approximately factorial, and that its parameters can be approximated with nonlinear regression from the observations. As we show empirically, the VAE objective can lead to overly simplified representations which fail to use the network's entire modeling capacity. We present the importance weighted autoencoder (IWAE), a generative model with the same architecture as the VAE, but which uses a strictly tighter log-likelihood lower bound derived from importance weighting. In the IWAE, the recognition network uses multiple samples to approximate the posterior, giving it increased flexibility to model complex posteriors which do not fit the VAE modeling assumptions. We show empirically that IWAEs learn richer latent space representations than VAEs, leading to improved test log-likelihood on density estimation benchmarks.",772회,"Importance weighted autoencoders
Y Burda, R Grosse, R Salakhutdinov - arXiv preprint arXiv:1509.00519, 2015
772회 인용 관련 학술자료 전체 3개의 버전",International Conference on Learning Representations (ICLR),,,
Multimodal Neural Language Models.,"Ryan Kiros, Ruslan Salakhutdinov, Richard S Zemel",2014/6/21,,14,,595-603,,"We introduce two multimodal neural language models: models of natural language that can be conditioned on other modalities. An image-text multimodal neural language model can be used to retrieve images given complex sentence queries, retrieve phrase descriptions given image queries, as well as generate text conditioned on images. We show that in the case of image-text modelling we can jointly learn word representations and image features by training our models together with a convolutional network. Unlike many of the existing methods, our approach can generate sentence descriptions for images without the use of templates, structured prediction, and/or syntactic trees. While we focus on image-text modelling, our algorithms can be easily applied to other modalities such as audio.",640회,"Multimodal neural language models
R Kiros, R Salakhutdinov, R Zemel - International conference on machine learning, 2014
640회 인용 관련 학술자료 전체 21개의 버전",International Conference on Machine Learning (ICML),,,
Toward controlled generation of text,"Zhiting Hu, Zichao Yang, Xiaodan Liang, Ruslan Salakhutdinov, Eric P Xing",2017/7/17,,,,1587-1596,PMLR,"Generic generation and manipulation of text is challenging and has limited success compared to recent deep generative modeling in visual domain. This paper aims at generating plausible text sentences, whose attributes are controlled by learning disentangled latent representations with designated semantics. We propose a new neural generative model which combines variational auto-encoders (VAEs) and holistic attribute discriminators for effective imposition of semantic structures. The model can alternatively be seen as enhancing VAEs with the wake-sleep algorithm for leveraging fake samples as extra training data. With differentiable approximation to discrete text samples, explicit constraints on independent attribute controls, and efficient collaborative learning of generator and discriminators, our model learns interpretable representations from even only word annotations, and produces short sentences with desired attributes of sentiment and tenses. Quantitative experiments using trained classifiers as evaluators validate the accuracy of sentence and attribute generation.",586회,"Toward controlled generation of text
Z Hu, Z Yang, X Liang, R Salakhutdinov, EP Xing - International Conference on Machine Learning, 2017
586회 인용 관련 학술자료 전체 9개의 버전",International Conference on Machine Learning,,,
